transaction_id,bill_id,date,store_id,store_location,customer_id,customer_segment,product_id,product_category,product_name,quantity,unit_price,payment_method,discount_applied,channel,line_revenue
TXN-2025-0001,BILL-1001,2025-01-10,S1,Downtown,C001,Regular,P101,Beverages,Orange Juice 1L,2,3.5,Credit Card,0.5,In-store,6.5
TXN-2025-0002,BILL-1001,2025-01-10,S1,Downtown,C001,Regular,P205,Snacks,Potato Chips,3,1.2,Credit Card,0.0,In-store,3.5999999999999996
TXN-2025-0003,BILL-1002,2025-01-10,S2,Suburban,C002,Loyal,P301,Personal Care,Shampoo 250ml,1,4.0,UPI,1.0,Online,3.0
TXN-2025-0004,BILL-1003,2025-01-10,S3,Uptown,C003,New,P102,Beverages,Green Tea Box,2,5.5,Cash,0.0,In-store,11.0
TXN-2025-0005,BILL-1004,2025-01-11,S1,Downtown,C004,Regular,P206,Snacks,Chocolate Bar,4,2.0,Credit Card,0.5,In-store,7.5
TXN-2025-0006,BILL-1005,2025-01-11,S2,Suburban,C005,Loyal,P103,Beverages,Cola 2L,1,4.5,UPI,0.0,Online,4.5
TXN-2025-0007,BILL-1005,2025-01-11,S2,Suburban,C005,Loyal,P207,Snacks,Biscuits Pack,2,3.0,UPI,0.5,Online,5.5
TXN-2025-0008,BILL-1006,2025-01-11,S3,Uptown,C006,New,P302,Personal Care,Body Wash,1,6.5,Credit Card,1.5,In-store,5.0
TXN-2025-0009,BILL-1007,2025-01-12,S1,Downtown,C007,Regular,P401,Electronics,USB Cable,1,8.0,Cash,0.0,In-store,8.0
TXN-2025-0010,BILL-1008,2025-01-12,S2,Suburban,C002,Loyal,P501,Groceries,Rice 5kg,1,15.0,UPI,2.0,Online,13.0
TXN-2025-0011,BILL-1009,2025-01-12,S3,Uptown,C008,Regular,P104,Beverages,Mineral Water 1L,6,1.0,Cash,0.0,In-store,6.0
TXN-2025-0012,BILL-1010,2025-01-13,S1,Downtown,C009,Loyal,P208,Snacks,Nachos,2,4.5,Credit Card,0.5,In-store,8.5
TXN-2025-0013,BILL-1011,2025-01-13,S2,Suburban,C010,New,P303,Personal Care,Toothpaste,1,3.5,UPI,0.0,Online,3.5
TXN-2025-0014,BILL-1012,2025-01-13,S3,Uptown,C011,Regular,P105,Beverages,Energy Drink,2,5.0,Cash,0.0,In-store,10.0
TXN-2025-0015,BILL-1013,2025-01-14,S1,Downtown,C001,Regular,P209,Snacks,Cookies Pack,3,3.5,Credit Card,1.0,In-store,9.5
TXN-2025-0016,BILL-1014,2025-01-14,S2,Suburban,C012,Loyal,P502,Groceries,Wheat Flour 10kg,1,20.0,UPI,3.0,Online,17.0
TXN-2025-0017,BILL-1015,2025-01-14,S3,Uptown,C013,New,P304,Personal Care,Face Cream,1,12.0,Credit Card,2.0,In-store,10.0
TXN-2025-0018,BILL-1016,2025-01-15,S1,Downtown,C014,Regular,P106,Beverages,Apple Juice 1L,2,4.0,Cash,0.0,In-store,8.0
TXN-2025-0019,BILL-1017,2025-01-15,S2,Suburban,C005,Loyal,P210,Snacks,Peanuts,1,2.5,UPI,0.0,Online,2.5
TXN-2025-0020,BILL-1018,2025-01-15,S3,Uptown,C015,Regular,P402,Electronics,Phone Charger,1,12.0,Credit Card,1.0,In-store,11.0
TXN-2025-0021,BILL-1019,2025-01-16,S1,Downtown,C016,New,P107,Beverages,Coconut Water,3,3.0,Cash,0.5,In-store,8.5
TXN-2025-0022,BILL-1020,2025-01-16,S2,Suburban,C002,Loyal,P503,Groceries,Sugar 5kg,1,12.0,UPI,1.5,Online,10.5
TXN-2025-0023,BILL-1021,2025-01-16,S3,Uptown,C017,Regular,P305,Personal Care,Soap Bar,4,2.0,Cash,0.0,In-store,8.0
TXN-2025-0024,BILL-1022,2025-01-17,S1,Downtown,C018,Loyal,P211,Snacks,Granola Bar,2,4.0,Credit Card,0.5,In-store,7.5
TXN-2025-0025,BILL-1023,2025-01-17,S2,Suburban,C019,New,P108,Beverages,Lemonade,1,3.5,UPI,0.0,Online,3.5
TXN-2025-0026,BILL-1024,2025-01-17,S3,Uptown,C020,Regular,P403,Electronics,Earphones,1,15.0,Credit Card,2.0,In-store,13.0
TXN-2025-0027,BILL-1025,2025-01-18,S1,Downtown,C001,Regular,P212,Snacks,Popcorn,2,3.0,Cash,0.0,In-store,6.0
TXN-2025-0028,BILL-1026,2025-01-18,S2,Suburban,C021,Loyal,P504,Groceries,Cooking Oil 2L,1,18.0,UPI,2.5,Online,15.5
TXN-2025-0029,BILL-1027,2025-01-18,S3,Uptown,C022,New,P306,Personal Care,Deodorant,1,5.5,Credit Card,0.5,In-store,5.0
TXN-2025-0030,BILL-1028,2025-01-19,S1,Downtown,C023,Regular,P109,Beverages,Iced Tea,2,4.5,Cash,0.0,In-store,9.0
TXN-2025-0031,BILL-1029,2025-01-19,S2,Suburban,C005,Loyal,P213,Snacks,Trail Mix,1,6.0,UPI,1.0,Online,5.0
TXN-2025-0032,BILL-1030,2025-01-19,S3,Uptown,C024,Regular,P404,Electronics,Power Bank,1,25.0,Credit Card,3.0,In-store,22.0
TXN-2025-0033,BILL-1031,2025-01-20,S1,Downtown,C025,Loyal,P110,Beverages,Sports Drink,3,5.5,Cash,0.5,In-store,16.0
TXN-2025-0034,BILL-1032,2025-01-20,S2,Suburban,C026,New,P505,Groceries,Pasta 500g,2,4.5,UPI,0.0,Online,9.0
TXN-2025-0035,BILL-1033,2025-01-20,S3,Uptown,C027,Regular,P307,Personal Care,Hair Oil,1,7.0,Credit Card,1.0,In-store,6.0
TXN-2025-0036,BILL-1034,2025-01-21,S1,Downtown,C028,Regular,P214,Snacks,Pretzels,2,3.5,Cash,0.0,In-store,7.0
TXN-2025-0037,BILL-1035,2025-01-21,S2,Suburban,C002,Loyal,P111,Beverages,Coffee Beans 250g,1,12.0,UPI,2.0,Online,10.0
TXN-2025-0038,BILL-1036,2025-01-21,S3,Uptown,C029,New,P405,Electronics,HDMI Cable,1,10.0,Credit Card,1.0,In-store,9.0
TXN-2025-0039,BILL-1037,2025-01-22,S1,Downtown,C030,Loyal,P215,Snacks,Crackers,3,2.5,Cash,0.5,In-store,7.0
TXN-2025-0040,BILL-1038,2025-01-22,S2,Suburban,C031,Regular,P506,Groceries,Salt 1kg,1,2.0,UPI,0.0,Online,2.0
TXN-2025-0041,BILL-1039,2025-01-22,S3,Uptown,C032,New,P308,Personal Care,Moisturizer,1,14.0,Credit Card,2.5,In-store,11.5
TXN-2025-0042,BILL-1040,2025-01-23,S1,Downtown,C001,Regular,P112,Beverages,Herbal Tea,2,6.0,Cash,0.0,In-store,12.0
TXN-2025-0043,BILL-1041,2025-01-23,S2,Suburban,C005,Loyal,P216,Snacks,Dried Fruits,1,8.0,UPI,1.5,Online,6.5
TXN-2025-0044,BILL-1042,2025-01-23,S3,Uptown,C033,Regular,P406,Electronics,Mouse Pad,1,5.0,Credit Card,0.0,In-store,5.0
TXN-2025-0045,BILL-1043,2025-01-24,S1,Downtown,C034,Loyal,P113,Beverages,Protein Shake,2,8.5,Cash,1.0,In-store,16.0
TXN-2025-0046,BILL-1044,2025-01-24,S2,Suburban,C035,New,P507,Groceries,Honey 500g,1,10.0,UPI,1.5,Online,8.5
TXN-2025-0047,BILL-1045,2025-01-24,S3,Uptown,C036,Regular,P309,Personal Care,Shaving Cream,1,6.5,Credit Card,0.5,In-store,6.0
TXN-2025-0048,BILL-1046,2025-01-25,S1,Downtown,C037,Regular,P217,Snacks,Corn Chips,2,3.5,Cash,0.0,In-store,7.0
TXN-2025-0049,BILL-1047,2025-01-25,S2,Suburban,C002,Loyal,P114,Beverages,Sparkling Water,4,2.5,UPI,0.5,Online,9.5
TXN-2025-0050,BILL-1048,2025-01-25,S3,Uptown,C038,New,P407,Electronics,Keyboard,1,35.0,Credit Card,5.0,In-store,30.0
TXN-2025-0051,BILL-1049,2025-01-26,S1,Downtown,C039,Loyal,P218,Snacks,Cereal Bar,3,4.0,Cash,1.0,In-store,11.0
TXN-2025-0052,BILL-1050,2025-01-26,S2,Suburban,C040,Regular,P508,Groceries,Oats 1kg,1,6.5,UPI,0.5,Online,6.0
TXN-2025-0053,BILL-1051,2025-01-26,S3,Uptown,C041,New,P310,Personal Care,Lip Balm,2,3.0,Credit Card,0.0,In-store,6.0
TXN-2025-0054,BILL-1052,2025-01-27,S1,Downtown,C001,Regular,P115,Beverages,Smoothie Mix,2,7.5,Cash,1.5,In-store,13.5
TXN-2025-0055,BILL-1053,2025-01-27,S2,Suburban,C005,Loyal,P219,Snacks,Rice Cakes,1,4.5,UPI,0.0,Online,4.5
TXN-2025-0056,BILL-1054,2025-01-27,S3,Uptown,C042,Regular,P408,Electronics,Wireless Mouse,1,18.0,Credit Card,2.0,In-store,16.0
TXN-2025-0057,BILL-1055,2025-01-28,S1,Downtown,C043,Loyal,P116,Beverages,Almond Milk,2,5.0,Cash,0.5,In-store,9.5
TXN-2025-0058,BILL-1056,2025-01-28,S2,Suburban,C044,New,P509,Groceries,Lentils 1kg,1,7.0,UPI,1.0,Online,6.0
TXN-2025-0059,BILL-1057,2025-01-28,S3,Uptown,C045,Regular,P311,Personal Care,Hand Sanitizer,3,2.5,Credit Card,0.0,In-store,7.5
